Réseau;Code Etablissement;Etablissement;Code agence;Agence;Adresse;Ville;Code postal;Emplacement;Horaires Automate;Typologie;Etat de fonctionnement;latitude;longitude;Etat_num;quartier;jours_hors_service;hors_service_Xj;score_performance;nb_incidents_30j;multi_incidents_30j;distance_centre
CE;17515;Ce Ile-De-France;17515;Paris Saint Germain Des Pres/00005;15 RUE DU FOUR;PARIS;75006.0;Interne;Mar et Mer et Ven {09:30-13:00 14:15-18:15} Jeu {09:30-13:00 15:15-18:15} Sam {09:00-13:00};Car;disponible;48.852733;2.334873;;Paris;;;;;;1.1477728349089793
CE;17515;Ce Ile-De-France;17515;Paris Mouffetard/00003;2 RUE CLAUDE BERNARD;PARIS;75005.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;48.838819;2.350044;;Paris;;;;;;1.2432746441858042
CE;17515;Ce Ile-De-France;65;Levallois Perret/00065;52 RUE DU PRESIDENT WILSON;LEVALLOIS-PERRET;92300.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;48.892075;2.290442;;Autre;;;;;;6.392458296099361
CE;17515;Ce Ile-De-France;65;Levallois Perret/00065;52 RUE DU PRESIDENT WILSON;LEVALLOIS-PERRET;92300.0;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};Car;disponible;48.892075;2.290442;;Autre;;;;;;6.392458296099361
BP;16807;Bp Auvergne Rhone Alpes;8;Bourg Saint Maurice/00008;13 PLACE DE LA GARE;BOURG-SAINT-MAURICE;73700.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;45.619052;6.770764;;Autre;;;;;;490.2173443067583
CE;14445;Ce Bretagne-Pays De Loire;323;Angers Monplaisir/00323;PLACE DE L EUROPE;ANGERS;49100.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;47.487847;-0.526513;;Autre;;;;;;261.5957866153375
BP;16807;Bp Auvergne Rhone Alpes;110;Valence Centre/00110;26 BOULEVARD GENERAL DE GAULLE;VALENCE;26000.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;44.930219;4.89317;;Autre;;;;;;476.71193817399865
BP;10548;Banque De Savoie;1882;La Toussuire/01882;LA RESIDENCE;FONTCOUVERTE LA TOUSSUIRE;73300.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;45.249186;6.293843;;Autre;;;;;;499.44664100770143
CE;14445;Ce Bretagne-Pays De Loire;193;Nantes Chantenay/00193;9 BOULEVARD DE L EGALITE;NANTES;44100.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;47.207308;-1.587694;;Autre;;;;;;345.05055584446205
CE;17515;Ce Ile-De-France;47;Paris Anvers/00047;74 BOULEVARD DE ROCHECHOUART;PARIS;75018.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.882957;2.34351;;Paris;;;;;;3.695270477128751
CE;17515;Ce Ile-De-France;47;Paris Anvers/00047;74 BOULEVARD DE ROCHECHOUART;PARIS;75018.0;Interne;Mar et Mer et Ven {09:30-13:15 14:00-17:30} Jeu {09:30-13:00 15:15-18:15} Sam {09:00-13:00};Car;disponible;48.882957;2.34351;;Paris;;;;;;3.695270477128751
