Réseau;Code Etablissement;Etablissement;Code agence;Agence;Adresse;Ville;Code postal;Emplacement;Horaires Automate;Typologie;Etat de fonctionnement;latitude;longitude;Etat_num;quartier;jours_hors_service;hors_service_Xj;score_performance;nb_incidents_30j;multi_incidents_30j;distance_centre
CE;11315;Ce Provence Alpes Corse - Outre-Mer;265;Le Chaudron/00265;AVENUE JOSEPH BEDIERLE CHAUDRON;SAINT DENIS;97490.0;Sas;TLJ {06:00-23:00};Gdv;disponible;-20.895489;55.486575;;Autre;;;;;;9367.88374619866
CE;11315;Ce Provence Alpes Corse - Metropole;178;Le Merlan Toursainte/00178;57 AVENUE DU MERLAN;MARSEILLE;13014.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.336729;5.407182;;Marseille;;;;;;656.6695038287752
CE;11315;Ce Provence Alpes Corse - Outre-Mer;753;Le Moule St Jean/00753;42 RUE SAINT JEAN;LE MOULE;97160.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;16.333723;-61.347172;;Autre;;;;;;6733.462945530728
CE;11315;Ce Provence Alpes Corse - Metropole;351;Le Pontet /00351;CENTRE COMMERCIAL AVIGNON NORD533 AVENUE LOUIS BRAILLE;LE PONTET;84130.0;Sas;TLJ {06:00-23:00};Drv;disponible;43.979913;4.880108;;Autre;;;;;;575.1291987442852
CE;11315;Ce Provence Alpes Corse - Outre-Mer;957;Le Robert/00957;RUE DU COURBARILMAISON LAUHON;LE ROBERT;97231.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;14.675936;-60.940759;;Autre;;;;;;6840.486528865212
CE;11315;Ce Provence Alpes Corse - Outre-Mer;957;Le Robert/00957;RUE DU COURBARILMAISON LAUHON;LE ROBERT;97231.0;Sas;TLJ {06:00-23:00};Gdv;disponible;14.675936;-60.940759;;Autre;;;;;;6840.486528865212
CE;11315;Ce Provence Alpes Corse - Outre-Mer;361;Le Tampon/00361;140 ROUTE HUBERT DELISLE;LE TAMPON;97430.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;-21.283525;55.520808;;Autre;;;;;;9406.376304374786
CE;11315;Ce Provence Alpes Corse - Metropole;344;Le Thor/00344;COURS GAMBETTA;LE THOR;84250.0;Dans La Rue;TLJ {00:00-23:59};Gdv;disponible;43.92763;4.992432;;Autre;;;;;;583.5631740210509
CE;11315;Ce Provence Alpes Corse - Metropole;204;Les 3 Lucs/00204;360 AVENUE DES POILUS;MARSEILLE;13012.0;Interne;Mar au Ven {08:15-12:00 13:30-17:15} Sam {08:00-12:00};Udv;disponible;43.313297;5.463395;;Marseille;;;;;;660.6772719211448
CE;11315;Ce Provence Alpes Corse - Metropole;338;Les Angles/00338;AVENUE DE VERDUN;LES ANGLES;30133.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.958873;4.773127;;Autre;;;;;;574.647611505355
CE;11315;Ce Provence Alpes Corse - Metropole;264;Les Collines De La Nerthe/00264;AVENUE FRANCOIS MITTERRAND;GIGNAC LA NERTHE;13180.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.397206;5.2519;;Marseille;;;;;;646.1272780024915
CE;11315;Ce Provence Alpes Corse - Metropole;203;Les Caillols/00203;AVENUE WILLIAM BOOTH;MARSEILLE;13012.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.29614;5.446465;;Marseille;;;;;;661.9973959744619
CE;11315;Ce Provence Alpes Corse - Metropole;203;Les Caillols/00203;AVENUE WILLIAM BOOTH;MARSEILLE;13012.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.29614;5.446465;;Marseille;;;;;;661.9973959744619
CE;11315;Ce Provence Alpes Corse - Outre-Mer;525;Ligne Paradis/00525;4 ROUTE DE LA LIGNE PARADIS;SAINT-PIERRE;97410.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;-21.32173;55.483811;;Autre;;;;;;9407.954352662911
CE;11315;Ce Provence Alpes Corse - Metropole;269;Mallemort/00269;105 COURS VICTORUE HUGO;MALLEMORT;13370.0;Dans La Rue;TLJ {00:00-23:59};Gdv;disponible;43.72939;5.180044;;Marseille;;;;;;609.3815472042511
CE;11315;Ce Provence Alpes Corse - Metropole;269;Mallemort/00269;105 COURS VICTORUE HUGO;MALLEMORT;13370.0;Interne;Mar au Ven {08:00-12:00 13:30-18:00} Sam {08:00-12:00};Udv;disponible;43.72939;5.180044;;Marseille;;;;;;609.3815472042511
CE;11315;Ce Provence Alpes Corse - Metropole;141;Marignane/00141;3 AVENUE JEAN JAURES;MARIGNANE;13700.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.417971;5.21714;;Marseille;;;;;;643.025323761403
CE;11315;Ce Provence Alpes Corse - Metropole;249;Martigues Jonquieres/00249;22 COURS DU 4 SEPTEMBRE;MARTIGUES;13500.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.402631;5.055092;;Marseille;;;;;;640.4788546528781
CE;11315;Ce Provence Alpes Corse - Metropole;249;Martigues Jonquieres/00249;22 COURS DU 4 SEPTEMBRE;MARTIGUES;13500.0;Sas;TLJ {06:00-23:00};Drv;disponible;43.402631;5.055092;;Marseille;;;;;;640.4788546528781
CE;11315;Ce Provence Alpes Corse - Metropole;375;Monteux/00375;PLACE DE LA GLACIERE;MONTEUX;84170.0;Interne;Mar au Ven {08:00-12:00 13:30-18:00} Sam {08:00-12:00};Udv;disponible;44.036287;4.997436;;Autre;;;;;;572.3143621081034
CE;11315;Ce Provence Alpes Corse - Metropole;341;Montfavet/00341;PLACE DE L EGLISE;AVIGNON;84140.0;Interne;Mar au Ven {08:00-12:00 13:30-18:00} Sam {08:00-12:00};Cge;disponible;43.935281;4.870658;;Autre;;;;;;579.5880992467252
CE;11315;Ce Provence Alpes Corse - Metropole;341;Montfavet/00341;PLACE DE L EGLISE;AVIGNON;84140.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.935281;4.870658;;Autre;;;;;;579.5880992467252
CE;11315;Ce Provence Alpes Corse - Metropole;201;Nouvelle Valentine/00201;12 MONTEE DE LA FORBINE;MARSEILLE;13011.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.2911;5.478342;;Marseille;;;;;;663.4113278655369
CE;11315;Ce Provence Alpes Corse - Outre-Mer;100;Ocean/00100;203 RUE DU MARÉCHAL LECLERC;SAINT DENIS;97400.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;-20.879508;55.455583;;Autre;;;;;;9364.672441650639
CE;11315;Ce Provence Alpes Corse - Outre-Mer;100;Ocean/00100;203 RUE DU MARÉCHAL LECLERC;SAINT DENIS;97400.0;Sas;TLJ {06:00-23:00};Gdv;disponible;-20.879508;55.455583;;Autre;;;;;;9364.672441650639
CE;11315;Ce Provence Alpes Corse - Metropole;155;Pays D Apt/00155;41 BOULEVARD DE ROUMANILLE;APT;84400.0;Dans La Rue;TLJ {00:00-23:59};Gdv;disponible;43.885418;5.376565;;Autre;;;;;;598.764513809979
CE;11315;Ce Provence Alpes Corse - Metropole;376;Pernes Les Fontaines/00376;AVENUE PERLE DU COMTAT;PERNES-LES-FONTAINES;84210.0;Sas;TLJ {06:00-23:00};Drv;disponible;43.99937;5.053837;;Autre;;;;;;577.7106321129687
CE;11315;Ce Provence Alpes Corse - Outre-Mer;935;Perrinon/00935;CENTRE COMMERCIAL PERRINON;FORT DE FRANCE;97200.0;Sas;TLJ {06:00-22:00};Gab;disponible;14.605997;-61.07052;;Autre;;;;;;6855.604181733679
CE;11315;Ce Provence Alpes Corse - Outre-Mer;935;Perrinon/00935;CENTRE COMMERCIAL PERRINON;FORT DE FRANCE;97200.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;14.605997;-61.07052;;Autre;;;;;;6855.604181733679
CE;11315;Ce Provence Alpes Corse - Metropole;319;Pertuis/00319;450 AVENUE DU 8 MAI 1945;PERTUIS;84120.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.684024;5.50055;;Autre;;;;;;623.2521451958575
CE;11315;Ce Provence Alpes Corse - Metropole;364;Piolenc/00364;42B AVENUE DE PROVENCE;PIOLENC;84420.0;Sas;TLJ {06:00-23:00};Gdv;disponible;44.174066;4.76173;;Autre;;;;;;551.6468890399265
CE;11315;Ce Provence Alpes Corse - Metropole;197;Pont De Vivaux/00197;126 BOULEVARD ROMAIN ROLLAND;MARSEILLE;13010.0;Interne;Mar au Ven {08:00-12:00 13:30-18:00} Sam {08:00-12:00};Cge;disponible;43.277547;5.420248;;Marseille;;;;;;663.2174834539818
CE;11315;Ce Provence Alpes Corse - Metropole;250;Port De Bouc/00250;RUE CHARLES NEDELECCENTRE COMMERCIAL;PORT-DE-BOUC;13110.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.406419;4.983934;;Marseille;;;;;;638.3194274198835
CE;11315;Ce Provence Alpes Corse - Metropole;159;Quatre Septembre/00159;1 PLACE DU 4 SEPTEMBRE;MARSEILLE;13007.0;Interne;Mar au Ven {08:00-12:00 13:30-18:00} Sam {08:00-12:00};Udv;disponible;43.288444;5.359413;;Marseille;;;;;;660.4192660337085
CE;11315;Ce Provence Alpes Corse - Metropole;159;Quatre Septembre/00159;1 PLACE DU 4 SEPTEMBRE;MARSEILLE;13007.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.288444;5.359413;;Marseille;;;;;;660.4192660337085
CE;11315;Ce Provence Alpes Corse - Metropole;159;Quatre Septembre/00159;1 PLACE DU 4 SEPTEMBRE;MARSEILLE;13007.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.288444;5.359413;;Marseille;;;;;;660.4192660337085
CE;11315;Ce Provence Alpes Corse - Metropole;241;Rognonas/00241;47 BOULEVARD DE L ANCIEN MARCHE;ROGNONAS;13870.0;Interne;Mar au Ven {08:15-12:00 13:30-17:00} Sam {08:15-12:00};Udv;disponible;43.898178;4.799634;;Marseille;;;;;;581.7222645521578
CE;11315;Ce Provence Alpes Corse - Metropole;208;Roquevaire/00208;42 AVENUE DES ALLIESLE CLOS DES BERGES;ROQUEVAIRE;13360.0;Interne;Mar au Ven {08:00-12:00 13:30-18:00} Sam {08:00-12:00};Cge;disponible;43.349042;5.603562;;Marseille;;;;;;660.9599393768037
CE;11315;Ce Provence Alpes Corse - Metropole;174;Roy D'Espagne/00174;BOULEVARD VELASQUEZ;MARSEILLE;13008.0;Dans La Rue;TLJ {00:00-23:59};Gdv;disponible;43.242531;5.387138;;Marseille;;;;;;665.9811775836957
CE;11315;Ce Provence Alpes Corse - Metropole;184;Sadi Carnot/00184;4 PLACE SADI CARNOT;MARSEILLE;13002.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.299552;5.371925;;Marseille;;;;;;659.5943770786424
CE;11315;Ce Provence Alpes Corse - Metropole;184;Sadi Carnot/00184;4 PLACE SADI CARNOT;MARSEILLE;13002.0;Dans La Rue;TLJ {00:00-23:59};Gab;hors service;43.299552;5.371925;;Marseille;;;;;;659.5943770786424
CE;11315;Ce Provence Alpes Corse - Metropole;184;Sadi Carnot/00184;4 PLACE SADI CARNOT;MARSEILLE;13002.0;Interne;Mar au Ven {08:00-12:00 13:30-18:00} Sam {08:00-12:00};Cge;disponible;43.299552;5.371925;;Marseille;;;;;;659.5943770786424
CE;11315;Ce Provence Alpes Corse - Outre-Mer;410;Saint Andre Andropolis/00410;CHEMIN LEFAGUYES;SAINT ANDRE;97440.0;Sas;TLJ {06:00-23:00};Drv;disponible;-20.954104;55.670419;;Autre;;;;;;9383.526313014936
CE;11315;Ce Provence Alpes Corse - Outre-Mer;410;Saint Andre Andropolis/00410;CHEMIN LEFAGUYES;SAINT ANDRE;97440.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;-20.954104;55.670419;;Autre;;;;;;9383.526313014936
CE;11315;Ce Provence Alpes Corse - Outre-Mer;503;Saint Andre Republique/00503;50 AVENUE DE LA REPUBLIQUE;SAINT-ANDRE;97440.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;-20.960924;55.650225;;Autre;;;;;;9383.05748609356
CE;11315;Ce Provence Alpes Corse - Metropole;166;Saint Barnabe/00166;138 RUE MONTAIGNE;MARSEILLE;13012.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.303778;5.417507;;Marseille;;;;;;660.3988538153312
CE;11315;Ce Provence Alpes Corse - Metropole;166;Saint Barnabe/00166;138 RUE MONTAIGNE;MARSEILLE;13012.0;Sas;TLJ {06:00-23:00};Drv;disponible;43.303778;5.417507;;Marseille;;;;;;660.3988538153312
CE;11315;Ce Provence Alpes Corse - Outre-Mer;412;Saint Denis Chatel/00412;27 RUE JEAN CHATEL;INCONNU;97400.0;Sas;Lun au Mer et Ven {08:00-12:00 13:15-16:00} Jeu {08:00-12:00 14:15-16:15};Drv;service dégradé;-20.87678;55.44944;;Autre;;;;;;9364.077434285118
CE;11315;Ce Provence Alpes Corse - Outre-Mer;511;Saint Gilles Les Bains/00511;4 RUE DU GENERAL DE GAULLE;SAINT-GILLES;97434.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;-21.048116;55.221618;;Autre;;;;;;9367.762917499287
CE;11315;Ce Provence Alpes Corse - Metropole;180;Saint Jerome Etoile/00180;88 AVENUE DE SAINT JEROME;MARSEILLE;13013.0;Sas;TLJ {06:00-23:00};Drv;disponible;43.332861;5.420022;;Marseille;;;;;;657.4284855842212
CE;11315;Ce Provence Alpes Corse - Metropole;180;Saint Jerome Etoile/00180;88 AVENUE DE SAINT JEROME;MARSEILLE;13013.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.332861;5.420022;;Marseille;;;;;;657.4284855842212
CE;11315;Ce Provence Alpes Corse - Outre-Mer;414;Saint Joseph/00414;106 RUE RAPHAEL BABET;SAINT JOSEPH;97480.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;-21.379297;55.615436;;Autre;;;;;;9420.599518818055
CE;11315;Ce Provence Alpes Corse - Metropole;167;Saint Just/00167;1 AVENUE ABBE JEAN BAPTISTE FOUQUE;MARSEILLE;13013.0;Interne;Mar au Ven {08:00-12:00 13:30-18:00} Sam {08:00-12:00};Udv;disponible;43.320254;5.407549;;Marseille;;;;;;658.4019760710128
CE;11315;Ce Provence Alpes Corse - Outre-Mer;423;Saint Leu/00423;197 RUE DU GENERAL LAMBERT;SAINT LEU;97436.0;Dans La Rue;TLJ {00:00-23:59};Gdv;disponible;-21.171369;55.288273;;Autre;;;;;;9383.053517962217
CE;11315;Ce Provence Alpes Corse - Outre-Mer;470;Saint Louis/00470;89 AVENUE PRINCIPALE;INCONNU;97450.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;-21.287368;55.408821;;Autre;;;;;;9400.604607978801
CE;11315;Ce Provence Alpes Corse - Metropole;130;Saint Louis/00130;139 AVENUE DE SAINT LOUIS;MARSEILLE;13015.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.347896;5.358921;;Marseille;;;;;;654.1781305980514
CE;11315;Ce Provence Alpes Corse - Metropole;132;Saint Loup/00132;55 PLACE GUY DURAND;MARSEILLE;13010.0;Sas;TLJ {06:00-23:00};Gdv;hors service;43.28248;5.430229;;Marseille;;;;;;662.9761366719996
CE;11315;Ce Provence Alpes Corse - Metropole;230;Saint Martin De Crau/00230;1 AVENUE NOSTRADAMUS;SAINT-MARTIN-DE-CRAU;13310.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.638471;4.812332;;Marseille;;;;;;609.5588852393132
CE;11315;Ce Provence Alpes Corse - Outre-Mer;474;Saint Paul/00474;14 RUE RHIN ET DANUBE;SAINT PAUL;97460.0;Sas;Lun au Mer et Ven {08:15-12:15 13:30-16:15} Jeu {08:15-12:15 14:30-16:30};Drv;disponible;-21.009254;55.271011;;Autre;;;;;;9366.79576750678
CE;11315;Ce Provence Alpes Corse - Outre-Mer;501;Saint Pierre/00501;27 RUE AUGUSTIN ARCHAMBAUD;SAINT-PIERRE;97410.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;-21.337301;55.478793;;Autre;;;;;;9409.149087054113
CE;11315;Ce Provence Alpes Corse - Metropole;137;Saint Remy De Provence/00137;BOULEVARD MARCEAU;SAINT-REMY-DE-PROVENCE;13210.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.788928;4.830157;;Marseille;;;;;;594.034964121739
CE;11315;Ce Provence Alpes Corse - Metropole;360;Sainte Cecile Les Vignes/00360;11 COURS JEAN JAURES;SAINTE-CECILE-LES-VIGNES;84290.0;Sas;TLJ {06:00-23:00};Gdv;disponible;44.24374;4.885314;;Autre;;;;;;547.5795334103714
CE;11315;Ce Provence Alpes Corse - Metropole;200;Sainte Marguerite/00200;8 RUE AUGUSTIN AUBERT;MARSEILLE;13009.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.268536;5.402946;;Marseille;;;;;;663.6868449921593
CE;11315;Ce Provence Alpes Corse - Metropole;139;Salon Centre/00139;113 COURS CARNOT;SALON-DE-PROVENCE;13300.0;Interne;Mar {08:15-12:00 13:30-16:00} Mer au Ven {08:15-12:00 13:30-17:00} Sam {08:15-12:00};Cge;disponible;43.640626;5.095883;;Marseille;;;;;;616.4323047827027
CE;11315;Ce Provence Alpes Corse - Metropole;139;Salon Centre/00139;113 COURS CARNOT;SALON-DE-PROVENCE;13300.0;Sas;TLJ {06:00-23:00};Drv;disponible;43.640626;5.095883;;Marseille;;;;;;616.4323047827027
CE;11315;Ce Provence Alpes Corse - Metropole;248;Salon Wertheim/00248;20 AVENUE DE WERTHEIM;SALON-DE-PROVENCE;13300.0;Interne;Mar au Ven {08:00-12:00 13:30-18:00} Sam {08:00-12:00};Udv;disponible;43.647176;5.093762;;Marseille;;;;;;615.6881604609059
CE;11315;Ce Provence Alpes Corse - Metropole;248;Salon Wertheim/00248;20 AVENUE DE WERTHEIM;SALON-DE-PROVENCE;13300.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.647176;5.093762;;Marseille;;;;;;615.6881604609059
CE;11315;Ce Provence Alpes Corse - Outre-Mer;409;Savanna Br/00409;43 ROUTE DE SAVANNA;SAINT PAUL;97460.0;Sas;TLJ {06:00-23:00};Gdv;hors service;-20.985551;55.297015;;Autre;;;;;;9365.981673861172
CE;11315;Ce Provence Alpes Corse - Metropole;247;Senas/00247;AVENUE JEAN JAURES;SENAS;13560.0;Sas;TLJ {06:00-23:00};Drv;disponible;43.74449;5.077553;;Marseille;;;;;;605.0393640168346
CE;11315;Ce Provence Alpes Corse - Metropole;129;Septemes/00129;PLACE PIERRE DIDIERUE TRAMONI;SEPTEMES-LES-VALLONS;13240.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.399139;5.366187;;Marseille;;;;;;649.0159369919734
CE;11315;Ce Provence Alpes Corse - Metropole;129;Septemes/00129;PLACE PIERRE DIDIERUE TRAMONI;SEPTEMES-LES-VALLONS;13240.0;Interne;Mar au Ven {08:00-12:00 13:30-18:00} Sam {08:00-12:00};Cge;disponible;43.399139;5.366187;;Marseille;;;;;;649.0159369919734
CE;11315;Ce Provence Alpes Corse - Metropole;151;Sorgues/00151;153 CHEMIN DE LA GRANGE DES ROUES;SORGUES;84700.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;44.017218;4.870413;;Autre;;;;;;570.9527878812206
CE;11315;Ce Provence Alpes Corse - Metropole;151;Sorgues/00151;153 CHEMIN DE LA GRANGE DES ROUES;SORGUES;84700.0;Sas;TLJ {06:00-23:00};Gdv;disponible;44.017218;4.870413;;Autre;;;;;;570.9527878812206
CE;11315;Ce Provence Alpes Corse - Metropole;234;Tarascon/00234;12 COURS ARISTIDE BRIAND;TARASCON;13150.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.803286;4.656616;;Marseille;;;;;;588.3797481331162
CE;11315;Ce Provence Alpes Corse - Metropole;363;Valreas/00363;37 COURS DU BERTEUIL;VALREAS;84600.0;Dans La Rue;TLJ {00:00-23:59};Gdv;disponible;44.38508;4.992227;;Autre;;;;;;535.8352672849999
CE;11315;Ce Provence Alpes Corse - Metropole;463;Venelles/00463;39 AVENUE MAURICE PLANTIER;VENELLES;13770.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.598566;5.485019;;Marseille;;;;;;631.6332956689703
CE;11315;Ce Provence Alpes Corse - Metropole;708;Vieux Port Canebiere/00708;26 RUE DE LA CANEBIERE;MARSEILLE;13001.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.295917;5.376788;;Marseille;;;;;;660.1072576256084
CE;11315;Ce Provence Alpes Corse - Corse;143;Ajaccio/00143;9 COURS NAPOLEON;AJACCIO;20000.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;41.918295;8.739646;;Autre;;;;;;917.4603442593823
CE;11315;Ce Provence Alpes Corse - Corse;143;Ajaccio/00143;9 COURS NAPOLEON;AJACCIO;20000.0;Interne;Lun au Jeu {08:00-12:00 13:45-17:00} Ven {08:00-12:00 13:45-16:45};Cge;disponible;41.918295;8.739646;;Autre;;;;;;917.4603442593823
CE;11315;Ce Provence Alpes Corse - Corse;144;Bastia/00144;29 RUE CESARUE CAMPINCHI;BASTIA;20200.0;Sas;TLJ {06:00-23:00};Gab;disponible;42.701172;9.449567;;Autre;;;;;;877.0563711620614
CE;11315;Ce Provence Alpes Corse - Corse;706;Bastia Toga/00706;CENTRE COMMERCIALPORT DE TOGA;BASTIA;20200.0;Interne;Mar au Ven {09:15-12:30 13:30-18:00} Sam {09:15-12:30};Udv;disponible;42.708231;9.45539;;Autre;;;;;;876.7065130672165
CE;11315;Ce Provence Alpes Corse - Corse;706;Bastia Toga/00706;CENTRE COMMERCIALPORT DE TOGA;BASTIA;20200.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;42.708231;9.45539;;Autre;;;;;;876.7065130672165
CE;11315;Ce Provence Alpes Corse - Corse;275;Bodiccione/00275;LES JARDINS DE BODICCIONE, BOULEVARD LOU;AJACCIO;20090.0;Sas;TLJ {06:00-23:00};Gdv;disponible;41.946027;8.739007;;Autre;;;;;;914.7827040901539
CE;11315;Ce Provence Alpes Corse - Corse;483;Borgo/00483;LIEU DIT MORMORANA;BORGO;20290.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;42.555564;9.442599;;Autre;;;;;;889.8156742881464
CE;11315;Ce Provence Alpes Corse - Corse;483;Borgo/00483;LIEU DIT MORMORANA;BORGO;20290.0;Sas;TLJ {06:00-23:00};Gdv;disponible;42.555564;9.442599;;Autre;;;;;;889.8156742881464
CE;11315;Ce Provence Alpes Corse - Corse;280;Corte/00280;30 COURS PAOLI;CORTE;20250.0;Interne;Lun au Ven {08:15-12:00 13:15-17:00};Cge;disponible;42.308991;9.150478;;Autre;;;;;;898.7220817502596
CE;11315;Ce Provence Alpes Corse - Corse;280;Corte/00280;30 COURS PAOLI;CORTE;20250.0;Sas;TLJ {06:00-23:00};Gdv;hors service;42.308991;9.150478;;Autre;;;;;;898.7220817502596
CE;11315;Ce Provence Alpes Corse - Metropole;224;Aix Europe/00224;34 AVENUE DE L EUROPE;AIX-EN-PROVENCE;13090.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.524121;5.433718;;Marseille;;;;;;637.8764424515448
CE;11315;Ce Provence Alpes Corse - Metropole;226;Aix Fontaine D'Argent/00226;9 AVENUE DES INFIRMERIES;AIX-EN-PROVENCE;13100.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.515288;5.463466;;Marseille;;;;;;639.6469047938373
CE;11315;Ce Provence Alpes Corse - Metropole;415;Aix Mirabeau/00415;42 COURS MIRABEAU;AIX-EN-PROVENCE;13100.0;Sas;TLJ {06:00-23:00};Drv;disponible;43.52677;5.450582;;Marseille;;;;;;638.0838331289244
CE;11315;Ce Provence Alpes Corse - Metropole;572;Aix Pasteur/00572;21 BOULEVARD JEAN JAURES ANGLE PASTEUR;AIX-EN-PROVENCE;13100.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.532595;5.445991;;Marseille;;;;;;637.3468056442327
CE;11315;Ce Provence Alpes Corse - Metropole;572;Aix Pasteur/00572;21 BOULEVARD JEAN JAURES ANGLE PASTEUR;AIX-EN-PROVENCE;13100.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.532595;5.445991;;Marseille;;;;;;637.3468056442327
CE;11315;Ce Provence Alpes Corse - Metropole;496;Aix Pont De L'Arc/00496;96 AVENUE FORTUNE FERRINI;AIX-EN-PROVENCE;13100.0;Interne;Mar au Ven {08:15-12:00 13:30-17:15} Sam {08:15-12:00};Cge;hors service;43.510029;5.441622;;Marseille;;;;;;639.5675579513543
CE;11315;Ce Provence Alpes Corse - Metropole;607;Aix Saint Mitre/00607;6 RUE DES ETOILESRESIDENCE LES ETOILES;AIX-EN-PROVENCE;13090.0;Sas;TLJ {06:00-23:00};Gdv;disponible;43.531814;5.41831;;Marseille;;;;;;636.6370332335816
CE;11315;Ce Provence Alpes Corse - Metropole;607;Aix Saint Mitre/00607;6 RUE DES ETOILESRESIDENCE LES ETOILES;AIX-EN-PROVENCE;13090.0;Interne;Mar au Ven {08:00-12:00 13:30-18:00} Sam {08:00-12:00};Udv;disponible;43.531814;5.41831;;Marseille;;;;;;636.6370332335816
CE;11315;Ce Provence Alpes Corse - Corse;282;Ile Rousse/00282;5 AVENUE FRED SCAMARONI;L'ILE-ROUSSE;20220.0;Sas;TLJ {06:00-23:00};Drv;disponible;42.632903;8.938288;;Autre;;;;;;859.1212210597866
CE;11315;Ce Provence Alpes Corse - Corse;279;Lupino/00279;3 RUE SAINT EXUPERYIMMEUBLE LE VINCI;BASTIA;20600.0;Sas;TLJ {06:00-23:00};Drv;disponible;42.679417;9.441781;;Autre;;;;;;878.6297312387577
CE;11315;Ce Provence Alpes Corse - Outre-Mer;934;Montjoly/00934;1 ROUTE DE MONTJOLYCENTRE COMMERCIAL MONTJOLY II;REMIRE MONTJOLY;97354.0;Dans La Rue;TLJ {00:00-23:59};Gdv;disponible;4.925861;-52.287561;;Autre;;;;;;7075.91510018128
CE;11315;Ce Provence Alpes Corse - Corse;798;Porticcio/00798;POLE D ACTIVITE DE PORTICCIO BOULEVARD J;GROSSETO-PRUGNA;20166.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;41.895474;8.812907;;Autre;;;;;;922.7430350034344
CE;11315;Ce Provence Alpes Corse - Corse;798;Porticcio/00798;POLE D ACTIVITE DE PORTICCIO BOULEVARD J;GROSSETO-PRUGNA;20166.0;Sas;TLJ {06:00-23:00};Gdv;disponible;41.895474;8.812907;;Autre;;;;;;922.7430350034344
CE;11315;Ce Provence Alpes Corse - Corse;798;Porticcio/00798;POLE D ACTIVITE DE PORTICCIO BOULEVARD J;GROSSETO-PRUGNA;20166.0;Interne;Mar au Ven {08:00-12:00 13:30-17:00} Sam {08:15-11:45};Udv;disponible;41.895474;8.812907;;Autre;;;;;;922.7430350034344
CE;11315;Ce Provence Alpes Corse - Corse;277;Porto Vecchio/00277;QUARTIERUE DES 4 CHEMINS;PORTO-VECCHIO;20137.0;Sas;TLJ {06:00-23:00};Drv;disponible;41.595792;9.275534;;Autre;;;;;;971.1276934056682
CE;11315;Ce Provence Alpes Corse - Corse;277;Porto Vecchio/00277;QUARTIERUE DES 4 CHEMINS;PORTO-VECCHIO;20137.0;Dans La Rue;TLJ {00:00-23:59};Gab;hors service;41.595792;9.275534;;Autre;;;;;;971.1276934056682
CE;11315;Ce Provence Alpes Corse - Outre-Mer;406;Ravine Des Cabris/00406;4 CHEMIN RECHERCHANT;RAVINE DES CABRIS;97432.0;Sas;TLJ {06:00-23:00};Drv;disponible;-21.292469;55.465097;;Autre;;;;;;9404.167636902392
