Réseau,Code Etablissement,Etablissement,Code agence,Agence,Adresse,Ville,Code postal,Emplacement,Horaires Automate,Typologie,Etat de fonctionnement,point_geographique,latitude,longitude
Ce,17515,Ce Ile-De-France,172,La Defense/00172,14 PLACE DE LA DEFENSE,Courbevoie,92200.0,Dans La Rue,TLJ {00:00-23:59},Gab,service dégradé,,,
Ce,17515,Ce Ile-De-France,172,La Defense/00172,14 PLACE DE LA DEFENSE,Courbevoie,92200.0,Sas,TLJ {06:00-22:00},Gvv,disponible,,,
Ce,17515,Ce Ile-De-France,321,Dammarie Les Lys/00321,CENTRE COMMERCIAL CHAMPLYS LECLERCLES TERRASSES,Dammarie-Les-Lys,77190.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-18:30} Sam {09:00-13:00 13:45-16:15},Gvv,disponible,"48.528541, 2.646343",48.528541,2.646343
Ce,17515,Ce Ile-De-France,62,Issy Les Moulineaux/00062,4 AVENUE VICTOR CRESSON,Issy-Les-Moulineaux,92130.0,Interne,Mar et Mer et Ven {09:30-13:15 14:00-17:30} Jeu {09:30-13:15 15:00-18:30} Sam {09:00-13:00 13:45-16:15},Udv,disponible,"48.823921, 2.272415",48.823921,2.272415
Ce,17515,Ce Ile-De-France,98,Romainville/00098,16 BOULEVARD EMILE GENEVOIX,Romainville,93230.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.882369, 2.434332",48.882369,2.434332
Bp,18707,Bp Val De France,540,Issoudun/00540,15  BOULEVARD MARX DORMOY,Issoudun,36100.0,Dans La Rue,TLJ {00:00-23:59},Gab,service dégradé,"46.949982, 1.992453",46.949982,1.992453
Ce,17515,Ce Ile-De-France,616,Argenteuil Jean Jaures/00616,178 AVENUE JEAN JAURES,Argenteuil,95100.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Car,disponible,"48.940594, 2.22263",48.940594,2.22263
Ce,17515,Ce Ile-De-France,630,Garches/00630,18 PLACE SAINT LOUIS,Garches,92380.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.84516, 2.187782",48.84516,2.187782
Ce,17515,Ce Ile-De-France,421,La Ferte Gaucher/00421,6 RUE DE PARIS,La Ferte-Gaucher,77320.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.779887, 3.304705",48.779887,3.304705
Ce,17515,Ce Ile-De-France,35,Paris Gambetta/00035,1 PLACE GAMBETTA,Paris,75020.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.864502, 2.398543",48.864502,2.398543
Ce,14445,Ce Bretagne-Pays De Loire,22145,Lamballe/22145,8 RUE DES AUGUSTINS,Lamballe,22400.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.469337, -2.517198",48.469337,-2.517198
Bp,10548,Banque De Savoie,2000,Rumilly/02000,PLACE D'ARMESB.P. 9,Rumilly,74150.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"45.863826, 5.945732",45.863826,5.945732
Bp,10548,Banque De Savoie,1300,Bourg St Maurice/01300,68 PLACE MARCEL GAIMARDB.P. 15,Bourg-Saint-Maurice,73703.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,,,
Ce,13485,Ce Languedoc-Roussillon,26,Carcassonne Pelletan/00026,5 BOULEVARD CAMILLE PELLETAN,Carcassonne,11000.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"43.211683, 2.355169",43.211683,2.355169
Ce,13485,Ce Languedoc-Roussillon,26,Carcassonne Pelletan/00026,5 BOULEVARD CAMILLE PELLETAN,Carcassonne,11000.0,Interne,,Cge,disponible,"43.211683, 2.355169",43.211683,2.355169
Ce,14445,Ce Bretagne-Pays De Loire,22305,Pontivy/22305,1 RUE DU TRIBUNAL,Pontivy,56300.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.066051, -2.968126",48.066051,-2.968126
Bp,10548,Banque De Savoie,1700,La Rochette/01700,18 RUE MAURICE REY,Valgelon La Rochette,73110.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"45.456491, 6.119267",45.456491,6.119267
Ce,17515,Ce Ile-De-France,575,Sarcelles Centre/00575,85B RUE PIERRE BROSSOLETTE,Sarcelles,95200.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.994241, 2.377895",48.994241,2.377895
Ce,17515,Ce Ile-De-France,575,Sarcelles Centre/00575,85B RUE PIERRE BROSSOLETTE,Sarcelles,95200.0,Dans La Rue,TLJ {06:00-23:59},Gab,disponible,"48.994241, 2.377895",48.994241,2.377895
Ce,17515,Ce Ile-De-France,509,Beauchamp/00509,155 CHAUSSEE JULES CESAR,Beauchamp,95250.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Udv,disponible,"49.009713, 2.196145",49.009713,2.196145
Bp,16807,Bp Auvergne Rhone Alpes,6,Moutiers Tarentaise/00006,30 AVENUE DU 08 MAI 1945,Moutiers,73600.0,Sas,TLJ {06:00-22:00},Gab,disponible,"45.48559, 6.530844",45.48559,6.530844
Ce,17515,Ce Ile-De-France,501,Aulnay Sous Bois Centre/00501,25 BOULEVARD DE STRASBOURG,Aulnay-Sous-Bois,93600.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.928628, 2.491798",48.928628,2.491798
